"line_item_usage_type","line_item_product_code","line_item_line_item_type","pricing_unit","line_item_operation","product_region"
"SAE1-DEL1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","sa-east-1"
"APN1-Aurora:IO-OptimizedLimitlessACUUsage-Limitless","AmazonRDS","Usage","ACU-Hr","CreateDBInstance:0021","ap-northeast-1"
"EUW2-Tables-Requests-Tier2","AmazonS3","Usage","Requests","HeadBucket","eu-west-2"
"USE1-stream.standard.medium-ib","AmazonAppStream","Usage","hour","Streaming:001","us-east-1"
"APE1-APN3-AWS-In-Bytes","AmazonECS","Usage","GB","FargateTask","ap-east-1"
"USE1-APS1-AWS-Out-Bytes","AmazonS3","Usage","GB","UploadPart","us-east-1"
"USE1-BE-tollfree-numbers","ContactCenterTelecomm","Usage","count","NumbersClaimed","us-east-1"
"USE2-Kafka.m7g.large","AmazonMSK","Usage","hours","RunBroker","us-east-2"
"USE1-Processing:ml.g6e.2xlarge","AmazonSageMaker","Usage","Hrs","RunInstance","us-east-1"
"SAE1-BKK1-AWS-In-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","sa-east-1"
"USW2-MSP1-AWS-In-Bytes","AmazonEC2","Usage","GB","PublicIP-In","us-west-2"
"USE1-Storage","AmazonFSx","Usage","GB-Mo","CreateFileSystem:Windows","us-east-1"
"USE2-EUC1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadRequestPaymentProps","us-east-2"
"APN1-Aurora:IO-OptimizedStorageUsage","AmazonRDS","Usage","GB-Mo","CreateDBInstance:0021","ap-northeast-1"
"EUC1-XRay-TracesAccessed","AWSXRay","Usage","traces","XRay-Traces-Retrieved","eu-central-1"
"USW1-DataTransfer-Out-Bytes","AmazonDynamoDB","Usage","GB","ListContributorInsights","us-west-1"
"USE1-stream.standard.small-ib","AmazonAppStream","Usage","hour","Streaming:001","us-east-1"
"APS6-DataTransfer-Out-Bytes","AmazonS3","Usage","GB","ReadAccelerate","ap-southeast-4"
"USE1-CognitoASFMAU","AmazonCognito","Usage","CognitoUserPoolsMAU","CognitoASFOperation","us-east-1"
"APN2-InstanceUsage:db.t2.medium","AmazonRDS","Usage","Hrs","CreateDBInstance:0002","ap-northeast-2"
"APN2-APS1-AWS-In-Bytes","AmazonS3","Usage","GB","PutObjectForRepl","ap-northeast-2"
"APN1-Notebk:VolumeUsage.gp2","AmazonSageMaker","Usage","GB-Mo","CreateVolume-Gp2","ap-northeast-1"
"USW1-SAE1-AWS-Out-Bytes","AmazonS3","Usage","GB","ReadBucketPolicyStatus","us-west-1"
"USW2-USE1-AWS-In-Bytes","AmazonS3","Usage","GB","WriteNotificationProps","us-west-2"
"EUC1-StateTransition","AmazonStates","Usage","StateTransitions","Succeed","eu-central-1"
"BoxUsage:m1.large","ElasticMapReduce","Usage","Hrs","RunInstances","us-east-1"
"APN2-MCT1-AWS-Out-Bytes","AWSELB","Usage","GB","LoadBalancing-PublicIP-Out","ap-northeast-2"
"USW1-APE2-AWS-In-Bytes","AWSELB","Usage","GB","LoadBalancing-NLB-PublicIP-In","us-west-1"
"EU-DataTransfer-Out-Bytes","AmazonDynamoDB","Usage","GB","DescribeKinesisDestination","eu-west-1"
"APS2-RegistryAndShadowOperations","AWSIoT","Usage","Operations","CreateThing","ap-southeast-2"
"EUC1-DataTransfer-In-Bytes","AWSELB","Usage","GB","AWSGlobalAccelerator","eu-central-1"
"EU-DataTransfer-Out-Bytes","AWSAppRunner","Usage","GB","RunService","eu-west-1"
"APS3-DataTransfer-Out-Bytes","AmazonDynamoDB","Usage","GB","RestoreTableToPointInTime","ap-south-1"
"USW2-MCI2-AWS-In-Bytes","AmazonVPC","Usage","GB","CreateVpnConnection","us-west-2"
"USE2-EntityRecognizer-Time","comprehend","Usage","seconds","EntityRecognizer","us-east-2"
"APS4-USW1-AWS-Out-Bytes","AmazonEC2","Usage","GB","PublicIP-Out","ap-southeast-3"
"EUC1-BuildDuration","AWSAmplify","Usage","minutes","BuildDuration","eu-central-1"
"SpotUsage:c5ad.24xlarge","AmazonEC2","Usage","Hrs","RunInstances:0002:SV007","us-east-1"
